사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-04,경강선,1509,부발,37067,35176,4712,4688
2020-04,경강선,1510,세종대왕릉,4410,4423,2464,2448
2020-04,경강선,1511,여주,33142,34768,9699,9670
2020-04,5호선,2511,방화,118462,111416,36568,34402
2020-04,5호선,2512,개화산,99562,94426,27112,27664
2020-04,5호선,2513,김포공항,114679,108176,19237,21163
2020-04,5호선,2514,송정,129120,119150,36795,35916
2020-04,5호선,2515,마곡,155839,146797,24612,23720
2020-04,5호선,2516,발산,366481,383856,59811,57280
2020-04,5호선,2517,우장산,251005,244802,58159,60738
2020-04,5호선,2518,화곡,566934,518407,104798,99540
2020-04,5호선,2519,까치산,579835,540541,115195,116663
2020-04,5호선,2520,신정(은행정),269479,200351,42752,41105
2020-04,5호선,2521,목동,331100,363816,58627,59272
2020-04,5호선,2522,오목교(목동운동장앞),450734,485393,56652,56426
2020-04,5호선,2523,양평,142076,140259,20998,20865
2020-04,5호선,2524,영등포구청,72291,72009,14783,14268
2020-04,5호선,2525,영등포시장,161493,166189,43523,44410
2020-04,5호선,2526,신길,74476,82557,8471,9052
2020-04,5호선,2527,여의도,504681,540484,35484,32545
2020-04,5호선,2528,여의나루,230484,238790,19168,17808
2020-04,5호선,2529,마포,263712,273959,42398,41568
2020-04,5호선,2530,공덕,272459,298926,30968,29254
2020-04,5호선,2531,애오개,128509,129104,26195,25322
2020-04,5호선,2532,충정로(경기대입구),91040,91891,10262,10320
2020-04,5호선,2533,서대문,325940,339488,44646,42012
2020-04,5호선,2534,광화문(세종문화회관),603036,638293,47125,44732
2020-04,5호선,2535,종로3가,211200,209221,64543,70327
2020-04,5호선,2536,을지로4가,95266,101128,34884,35425
2020-04,5호선,2537,동대문역사문화공원(DDP),52421,61285,6676,7299
2020-04,5호선,2538,청구,73116,68134,19063,14648
2020-04,5호선,2539,신금호,113521,112415,26482,29679
2020-04,5호선,2540,행당,149728,130998,34312,31063
2020-04,5호선,2541,왕십리(성동구청),86308,101464,16420,15644
2020-04,5호선,2542,마장,99114,92960,27771,27439
2020-04,5호선,2543,답십리,307351,276854,58085,56331
2020-04,5호선,2544,장한평,343360,338844,63214,64245
2020-04,5호선,2545,군자(능동),229004,252061,28764,29724
2020-04,5호선,2546,아차산(어린이대공원후문),271124,269153,75309,73799
2020-04,5호선,2547,광나루(장신대),252894,226454,48399,47772
2020-04,5호선,2548,천호(풍납토성),346308,355022,85983,91409
2020-04,5호선,2549,강동,394279,340513,72316,67055
2020-04,5호선,2550,길동,126107,131998,43572,45478
2020-04,5호선,2551,굽은다리(강동구민회관앞),160669,150261,43010,40201
2020-04,5호선,2552,명일,140652,143644,38897,40677
2020-04,5호선,2553,고덕,149696,151867,35636,35742
2020-04,5호선,2554,상일동,341924,288457,66311,62923
2020-04,5호선,2555,둔촌동,143878,142861,40415,40858
2020-04,5호선,2556,올림픽공원(한국체대),66062,57210,20424,18428
2020-04,5호선,2557,방이,125534,129560,29223,28696
2020-04,5호선,2558,오금,67175,66342,13527,13296
2020-04,5호선,2559,개롱,109452,113491,29028,30013
2020-04,5호선,2560,거여,131550,120963,37784,37537
2020-04,5호선,2561,마천,85544,85408,36568,38135
2020-04,6호선,2611,응암,323285,317324,83695,83226
2020-04,6호선,2612,역촌,61851,76331,21777,21422
2020-04,6호선,2613,불광,80182,85619,29783,25349
2020-04,6호선,2614,독바위,51215,53426,14154,18172
2020-04,6호선,2615,연신내,12,0,2,0
2020-04,6호선,2616,구산,135592,88621,36555,36249
2020-04,6호선,2617,새절(신사),237243,217293,61714,62844
2020-04,6호선,2618,증산(명지대앞),187406,179109,52978,53877
2020-04,6호선,2619,디지털미디어시티,257951,277247,38009,38967
2020-04,6호선,2620,월드컵경기장(성산),72376,78551,45049,43065
2020-04,6호선,2621,마포구청,266064,231593,51404,46635
2020-04,6호선,2622,망원,275959,306418,59539,61835
2020-04,6호선,2623,합정,286521,284721,26131,24478
2020-04,6호선,2624,상수,177767,212309,14932,15226
2020-04,6호선,2625,광흥창(서강),163209,156882,29972,29359
2020-04,6호선,2626,대흥(서강대앞),143399,149554,28903,29038
2020-04,6호선,2627,공덕,348129,343809,52942,49820
2020-04,6호선,2628,효창공원앞,131080,115431,27821,26113
2020-04,6호선,2629,삼각지,117048,100520,11157,8694
2020-04,6호선,2630,녹사평(용산구청),105374,110129,13376,12625
2020-04,6호선,2631,이태원,242576,265296,22732,23755
2020-04,6호선,2632,한강진,151811,187493,11158,10826
2020-04,6호선,2633,버티고개,40017,36255,9995,11986
2020-04,6호선,2634,약수,65952,67123,16063,15645
2020-04,6호선,2635,청구,72966,77243,14077,17361
2020-04,6호선,2636,신당,148237,159864,24899,23553
2020-04,6호선,2637,동묘앞,143926,149401,52907,47345
2020-04,6호선,2638,창신,65033,50401,13305,12574
2020-04,6호선,2639,보문,148410,134508,21995,21394
2020-04,6호선,2640,안암(고대병원앞),193443,197503,24637,23468
2020-04,6호선,2641,고려대(종암),146391,139076,24228,24690
2020-04,6호선,2642,월곡(동덕여대),206156,197525,53927,53609
2020-04,6호선,2643,상월곡(한국과학기술연구원),111701,94569,28840,28216
2020-04,6호선,2644,돌곶이,167730,153010,43775,43406
2020-04,6호선,2645,석계,237271,237621,55742,55849
2020-04,6호선,2646,태릉입구,103551,115481,20411,21907
2020-04,6호선,2647,화랑대(서울여대입구),222037,167767,31944,28009
2020-04,6호선,2648,봉화산(서울의료원),174256,155194,34376,33585
2020-04,6호선,2649,신내,1,0,0,0
2020-04,7호선,2711,장암,49998,19991,7625,5512
2020-04,7호선,2712,도봉산,182048,213297,35614,54239
2020-04,7호선,2713,수락산,240162,236526,66850,67431
2020-04,7호선,2714,마들,214520,197784,57983,58140
2020-04,7호선,2715,노원,371943,401463,80237,80220
2020-04,7호선,2716,중계,260500,225550,61309,59590
2020-04,7호선,2717,하계,328735,306374,72716,70088
2020-04,7호선,2718,공릉(서울과학기술대),222054,221971,49326,49619
2020-04,7호선,2719,태릉입구,158841,146148,30164,27807
2020-04,7호선,2720,먹골,197667,188110,44637,45027
2020-04,7호선,2721,중화,214941,204359,47103,47319
2020-04,7호선,2722,상봉(시외버스터미널),355162,331774,52451,50282
2020-04,7호선,2723,면목,297018,282474,70871,72953
2020-04,7호선,2724,사가정,303951,300349,73789,73914
2020-04,7호선,2725,용마산(용마폭포공원),116699,108092,27107,29757
2020-04,7호선,2726,중곡,183395,166682,41786,42360
